初始化类别中心1:
488	8	1.64	
类别1:
博士	577	1	0.17	
冻膜	540	1	0.19	
两件套	559	1	0.18	
一级	563	1	0.18	
rusuoo	545	1	0.18	
okbaby	572	1	0.17	
moncler	578	1	0.17	
fs40	534	1	0.19	
cherrykoko	548	1	0.18	
ascend	547	1	0.18	
aing	534	1	0.19	
a199	553	1	0.18	
9082	540	1	0.19	
600d	572	1	0.17	
350ml	575	1	0.17	
初始化类别中心3:
273	1	0.37	
类别3:
超可爱	285	8	2.81	
坚挺	282	7	2.48	
透明伞	285	6	2.11	
至尊	285	6	2.11	
洗碗	285	6	2.11	
护士	285	6	2.11	
咖啡厅	285	6	2.11	
冬盔	285	6	2.11	
32cm	280	6	2.14	
防霉	281	5	1.78	
玩沙	284	5	1.76	
教育	284	5	1.76	
拉拉	284	5	1.76	
宽带	277	5	1.81	
单只	285	5	1.75	
冷热风	282	5	1.77	
全高清	283	5	1.77	
非油炸	277	4	1.44	
贝尔莱德	279	4	1.43	
胖人	275	4	1.45	
精纯	283	4	1.41	
照明	279	4	1.43	
果冻表	283	4	1.41	
宜品	282	4	1.42	
商务旅行	285	4	1.4	
9508	283	4	1.41	
6代	278	4	1.44	
香酥	283	3	1.06	
霸克龙	281	3	1.07	
野炊	285	3	1.05	
足球	275	3	1.09	
菲比	281	3	1.07	
瑞纳	285	3	1.05	
爱情公寓	279	3	1.08	
欧美达	279	3	1.08	
李锦记	281	3	1.07	
朗威	277	3	1.08	
快乐一叮	279	3	1.08	
子母	276	3	1.09	
夹心饼干	273	3	1.1	
大块	282	3	1.06	
壁架	274	3	1.09	
场地车	275	3	1.09	
凯思达	274	3	1.09	
俄罗斯	275	3	1.09	
以纯	280	3	1.07	
lumia	276	3	1.09	
香波	275	2	0.73	
精萃	281	2	0.71	
生日蜡烛	271	2	0.74	
火山泥	270	2	0.74	
无锁	279	2	0.72	
忍者	280	2	0.71	
布面	273	2	0.73	
女大衣	281	2	0.71	
大耳钉	275	2	0.73	
嘉顿	275	2	0.73	
卡丁	271	2	0.74	
博友	284	2	0.7	
二级	285	2	0.7	
redopin	277	2	0.72	
lalababy	271	2	0.74	
a590	272	2	0.74	
1600	277	2	0.72	
雅客	275	1	0.36	
陶陶居	272	1	0.37	
阿帕琦	269	1	0.37	
长旗袍	274	1	0.36	
连体裙	270	1	0.37	
超霸	285	1	0.35	
藤艺	280	1	0.36	
薄壳	278	1	0.36	
背部	284	1	0.35	
福联升	271	1	0.37	
短裤子	273	1	0.37	
真我	285	1	0.35	
盘子	268	1	0.37	
玻璃贴	276	1	0.36	
澳赞	268	1	0.37	
海浪	277	1	0.36	
浩奇	271	1	0.37	
歌手服	283	1	0.35	
棒球衫	282	1	0.35	
服装辅料	281	1	0.36	
月月爱	285	1	0.35	
替换装	275	1	0.36	
挡风被	273	1	0.37	
怀孕	275	1	0.36	
康巴丝	274	1	0.36	
康元	285	1	0.35	
座式	280	1	0.36	
已裁剪	270	1	0.37	
宜而爽	269	1	0.37	
安桥	281	1	0.36	
威利	277	1	0.36	
大童鞋	282	1	0.35	
哈比熊	278	1	0.36	
吸湿	283	1	0.35	
割绒	270	1	0.37	
切尔西	271	1	0.37	
全车	274	1	0.36	
今联	274	1	0.36	
乐亲	278	1	0.36	
丝塔芙	281	1	0.36	
t8833	282	1	0.35	
saucony	282	1	0.35	
montana	283	1	0.35	
intouch	271	1	0.37	
11丝	271	1	0.37	
初始化类别中心4:
4	1	25	
类别4:
韩式烤肉	13	3	23.08	
防水布	13	3	23.08	
走板	13	3	23.08	
资料册	12	3	25	
讯鹰	12	3	25	
纯棉t恤	13	3	23.08	
睡前故事	13	3	23.08	
真发片	12	3	25	
手缝针	12	3	25	
吊饰	12	3	25	
三草茶	13	3	23.08	
wl574	12	3	25	
鸡毛	7	2	28.57	
风速仪	9	2	22.22	
零基础	9	2	22.22	
防抓伤	7	2	28.57	
防尿垫	9	2	22.22	
钓鱼椅	7	2	28.57	
迷你版	7	2	28.57	
能量杯	7	2	28.57	
缎带花	9	2	22.22	
经科	9	2	22.22	
经济装	9	2	22.22	
磨浆机	8	2	25	
电镀膜	9	2	22.22	
生肖守护神	8	2	25	
爬楼车	7	2	28.57	
港式奶茶	9	2	22.22	
淋膜	7	2	28.57	
浓情	7	2	28.57	
河北移动	9	2	22.22	
汇编	7	2	28.57	
武财神	9	2	22.22	
检修口	9	2	22.22	
梦之队	7	2	28.57	
梅酒瓶	7	2	28.57	
机电工程	8	2	25	
月和家思	7	2	28.57	
星座吊坠	9	2	22.22	
护唇	7	2	28.57	
手链绳	8	2	25	
戒表	7	2	28.57	
情侣t恤	7	2	28.57	
德伯	9	2	22.22	
彩棉	7	2	28.57	
庞中华	9	2	22.22	
干冰	9	2	22.22	
师恩难忘	9	2	22.22	
屁屁霜	7	2	28.57	
尉迟恭	8	2	25	
子线板	7	2	28.57	
威尔士柯基	7	2	28.57	
墙角柜	7	2	28.57	
地平线	9	2	22.22	
北美版	8	2	25	
包邮1	9	2	22.22	
利民	7	2	28.57	
冻干	9	2	22.22	
储米桶	7	2	28.57	
修真	8	2	25	
修剪器	9	2	22.22	
仲景	8	2	25	
中逵	7	2	28.57	
专营	7	2	28.57	
